`id` bigint(20) UNSIGNED NOT NULL,;  `description` text NOT NULL,;  `quantity` int(11) NOT NULL,;  `amount` decimal(11,2) NOT NULL,;  `VAT` decimal(8,2) NOT NULL, 0,2;  `invoice_id` bigint(20)  ID de la facture,;  `created_at` timestamp NULL DEFAULT NULL,;  `updated_at` timestamp NULL DEFAULT NULL,;  `deleted_at` timestamp NULL DEFAULT NULL
214;Expertise Immobilière;1;1333.33;0.20;214;NULL;NULL;NULL
215;Expertise Immobilière;1;1333.33;0.20;215;NULL;NULL;NULL
216;Expertise Immobilière;1;1000.00;0.20;216;NULL;NULL;NULL
217;Expertise Immobilière;1;1000.00;0.20;217;NULL;NULL;NULL
218;Expertise Immobilière;1;1666.67;0.20;218;NULL;NULL;NULL
219;Expertise Immobilière;1;2000.00;0.20;219;NULL;NULL;NULL
220;Expertise Immobilière;1;1666.67;0.20;220;NULL;NULL;NULL
221;Expertise Immobilière;1;1000.00;0.20;221;NULL;NULL;NULL
222;Expertise Immobilière;1;2333.33;0.20;222;NULL;NULL;NULL
223;Expertise Immobilière;1;800.00;0.20;223;NULL;NULL;NULL
224;Expertise Immobilière;1;1333.33;0.20;224;NULL;NULL;NULL
225;Expertise Immobilière;1;1200.00;0.20;225;NULL;NULL;NULL
226;Expertise Immobilière;1;1333.33;0.20;226;NULL;NULL;NULL
227;Expertise Immobilière;1;1000.00;0.20;227;NULL;NULL;NULL
228;Expertise Immobilière;1;1333.33;0.20;228;NULL;NULL;NULL
229;Expertise Immobilière;1;1000.00;0.20;229;NULL;NULL;NULL
230;Expertise Immobilière;1;1200.00;0.20;230;NULL;NULL;NULL
231;Expertise Immobilière;1;1466.67;0.20;231;NULL;NULL;NULL
232;Expertise Immobilière;1;1000.00;0.20;232;NULL;NULL;NULL
233;Expertise Immobilière;1;1333.33;0.20;233;NULL;NULL;NULL
234;Expertise Immobilière;1;1333.33;0.20;234;NULL;NULL;NULL
235;Expertise Immobilière;1;1000.00;0.20;235;NULL;NULL;NULL
236;Expertise Immobilière;1;1333.33;0.20;236;NULL;NULL;NULL
237;Expertise Immobilière;1;1666.67;0.20;237;NULL;NULL;NULL
238;Expertise Immobilière;1;1333.33;0.20;238;NULL;NULL;NULL
239;Expertise Immobilière;1;1666.67;0.20;239;NULL;NULL;NULL
240;Expertise Immobilière;1;2533.33;0.20;240;NULL;NULL;NULL
241;Expertise Immobilière;1;2500.00;0.20;241;NULL;NULL;NULL
242;"Formation : Ingénierie Financière pour FIN 
Formation : Stratégie Financière
Formation : Stratégie Financière - CCA";1;24000.00;0.20;242;NULL;NULL;NULL
243;Expertise Immobilière;1;2500.00;0.20;243;NULL;NULL;NULL
244;Expertise Immoblière  d’un « Bien » immobilier, de type « Appartement », sis Al Miaraj Garden, Immeuble C, RDC, Appartement N°3002, Californie, Arrondissement Ain Chock, Casablanca - Maroc, objet du T.F N° 81.530/47.;1;2000.00;0.20;244;NULL;NULL;NULL
245;Expertise Immobilière;1;2083.33;0.20;245;NULL;NULL;NULL
246;Expertise Immobilière;1;2500.00;0.20;246;NULL;NULL;NULL
247;Expertise Immobilière;1;2500.00;0.20;247;NULL;NULL;NULL
248;Evaluation et Analyse du Programme d’Investissement du Projet et son Chiffres d'affaires objet des TF N° : 61.194/58 & 61.195/58;1;4500.00;0.20;248;NULL;NULL;NULL
249;"Expertise du bien ayant le T.F N° 72/40953 consistant en un
Terrain Agricole de Superficie de 4,86 Hectares sis Benguerir
relatif au dossier de financement de la société SODIPOL.";1;5800.00;0.20;249;NULL;NULL;NULL
250;Expertise Immobilière  d’un « Bien » immobilier, de type « Plateau bureau », sis Mohammed 5 Offices Center, Immeuble « B », Bureau N° 408, 4ème étage, Préfecture d'Aïn Sebaâ-Hay Mohammadi, Casablanca - Maroc. Objet du T.F N°77.783/45.;1;2500.00;0.20;250;NULL;NULL;NULL
251;Simulations d'entretiens d'embauche des étudiants de MASTER 2 FINANCE et CCA;6;500.00;0.20;251;NULL;NULL;NULL
252;Expertise Immobilière;1;2500.00;0.20;252;NULL;NULL;NULL
253;"Expertise Immolière l’estimation de la valeur vénale, de « 07 Biens »
immobiliers, de type « Appartement », sis Rue Ahmed El Kadmiri, Résidence « JACINTH », Appartement
N°A14 & N°A16, 1er étage, Appartement N°A28, 2ème étage, Appartement N°A31 & N°A37, 3ème étage,
Appartement N°A44 & N°A47, 4ème étage, Quartier Val Fleuri, Casablanca - Maroc, objets des T.F N°
20.502/71, N° 20.504/71, N° 20.516/71, N° 20.519/71, N° 20.525/71, N° 20.532/71 & N° 20.535/71.";7;1200.00;0.20;253;NULL;NULL;NULL
254;Expertise Immobilière;1;3000.00;0.20;254;NULL;NULL;NULL
255;Expertise Immobilière;1;1500.00;0.20;255;NULL;NULL;NULL
256;Expertise Immobilière de type « Lot de Terrain pour villa », sis Propriété « FEDDANE KHADEM », Commune Bouskoura Douar Ouled Malek Hamri, Province de Nouaceur, Casablanca - Maroc., objet du T.F N° 36.325/63.;1;2500.00;0.20;256;NULL;NULL;NULL
257;Expertise immobilière des « Biens » immobiliers, de type « Lots de terrains pour villa », sis Lotissement « Atlas Golf Resort », Tranche 06, Lot N°97 & N°98, Arrondissement Annakhil, Marrakech - Maroc. Objets des T.F N° 54.844/43 & N° 54.845/43.;1;4800.00;0.20;257;NULL;NULL;NULL
258;"Expertise de la valeur vénale du foncier objet du TF N°10.675/D2

Analyse et Validation du Programme d’Investissement du Projet et son Chiffres d'affaires objet du TF N°10.675/D2";1;9500.00;0.20;258;NULL;NULL;NULL
259;Expertise de la valeur vénale de l'unité objet du TF N°26133/33;1;6000.00;0.20;259;NULL;NULL;NULL
260;Expertise Immobilière;1;1666.67;0.20;260;NULL;NULL;NULL
261;"Expertise Immobilière de type ""commerce"" , objet du TF: 69.048/64";1;2083.33;0.20;261;NULL;NULL;NULL
262;"Expertise Immobilière de la valeur vénale
d’un « Bien » immobilier, de type « Terrain », Sis Accès Mediouna Achakkar, Tanger - Maroc. Objet du TF
N°161.621/06.";1;6500.00;0.20;262;NULL;NULL;NULL
263;Expertise_ Immobilière de la valeur vénale, d’un bien immobilier de type « Commerce », sis Angle Rue Tadarouj & Rue Abou Zarik, Quartier l’Oasis, Arrondissement Hay Hassani, Casablanca - Maroc, objet du T.F N° 37.302/64.;1;2083.33;0.20;263;NULL;NULL;NULL
264;"Expertise_Immobilière de la valeur vénale d'un ""Bien"" immobilier, de type ""Appartement"", 548, Angle Avenue 2 mars &Boulevard Modibo Keita,
Résidence « Sounna »,
Appartement N°18, 4èmeétage,";1;1666.67;0.20;264;NULL;NULL;NULL
265;Expertise Immobilière;1;1250.00;0.20;265;NULL;NULL;NULL
266;"Expertise immobilière sis à Commune de Had Soualem, Province de Settat, Douar
Ouled Jamaa, Région du Grand Casablanca - Maroc. Objet du TF N°16.855/53";1;3000.00;0.20;266;NULL;NULL;NULL
267;Expertise d'une unité du TF N° 4157/47, sis Bouskoura, Prefecture de Casablanca .;1;5500.00;0.20;267;NULL;NULL;NULL
268;Expertise immobilière de la valeur vénele d'une villa sis, Résidence Al Boustane, à la Commune de Dar Bouazza, Province de Nouaceur, Casablanca - Maroc. Objet du TF N°1.996/63;1;1666.67;0.20;268;NULL;NULL;NULL
269;Expertise Immobilière de deux actifs immobiliers aynt les T,F N° 4709/46 et 4708/46 sis Casablanca.;1;5000.00;0.20;269;NULL;NULL;NULL
270;"Expertise des Bien de type appartement, sis LARACHE,  ayant les T.F  :
N°37.164/36,
N° 37.165/36,
N°37.166/36,
N°37.167/36,
N°37.168/36,
N°37.169/36,
N°37.170/36,
N°37.171/36,
N°37.172/36,
N°37.173/36";1;7500.00;0.20;270;NULL;NULL;NULL
271;Expertise Immobilière;1;2500.00;0.20;271;NULL;NULL;NULL
272;Expertise Immobilière;1;3000.00;0.20;272;NULL;NULL;NULL
273;Expertise Immobilière;1;2500.00;0.20;273;NULL;NULL;NULL
274;Expertise Immobilière;1;1250.00;0.20;274;NULL;NULL;NULL
275;Expertise Immobilière;1;2750.00;0.20;275;NULL;NULL;NULL
276;Expertise Immobilière;1;1250.00;0.20;276;NULL;NULL;NULL
277;Expertise Immobilière;1;1800.00;0.20;277;NULL;NULL;NULL
278;Expertise Immobilière;1;1800.00;0.20;278;NULL;NULL;NULL
279;Expertise Immobilière;1;1250.00;0.20;279;NULL;NULL;NULL
280;Expertise Immobilière;1;1500.00;0.20;280;NULL;NULL;NULL
281;Expertise Immobilière;1;1200.00;0.20;281;NULL;NULL;NULL
282;Expertise Immobilière;1;1250.00;0.20;282;NULL;NULL;NULL
283;Expertise Immobilière;1;1200.00;0.20;283;NULL;NULL;NULL
284;Expertise Immobilière;1;1500.00;0.20;284;NULL;NULL;NULL
285;Expertise Immobilière;1;1500.00;0.20;285;NULL;NULL;NULL
286;Expertise Immobilière;1;1500.00;0.20;286;NULL;NULL;NULL
287;Expertise Immobilière;1;1800.00;0.20;287;NULL;NULL;NULL
288;Expertise Immobilière;1;1800.00;0.20;288;NULL;NULL;NULL
289;Expertise Immobilière;1;1800.00;0.20;289;NULL;NULL;NULL
290;Expertise Immobilière;1;1500.00;0.20;290;NULL;NULL;NULL
291;Expertise Immobilière;1;2700.00;0.20;291;NULL;NULL;NULL
292;Expertise Immobilière;1;1916.67;0.20;292;NULL;NULL;NULL
293;"Evaluation d’un projet immobilier, de
type « 3SS R+9 », sis 14, Rue al Farabi, Tanger - Maroc, objet de TF N°549/G.";1;4750.00;0.20;293;NULL;NULL;NULL
294;"Evaluation d’un projet immobilier, de
type « 3SS R+9 », sis 14, Rue al Farabi, Tanger - Maroc, objet de TF N°549/G.";1;2375.00;0.20;294;NULL;NULL;NULL
295;"Evaluation d’un projet immobilier, de
type « 3SS R+9 », sis 14, Rue al Farabi, Tanger - Maroc, objet de TF N°549/G.";1;2375.00;0.20;295;NULL;NULL;NULL
296;Expertise Immobilière d’un bien immobilier de type « Commerce », sis Boulevard de Bordeaux, Rue Argana, Résidence « ARGANA », N°12, Arrondissement Anfa, Casablanca - Maroc, objet du T.F N°6.937/46.;1;2500.00;0.20;296;NULL;NULL;NULL
297;Expertise de la valeur vénale, d’un actif immobilier, de type « Terrain », sis Boulevard Mohamed Al Khallouqi, Avenue Catalunia, Laâyoune - Maroc, Objet de TF N°8.678/17.;1;7500.00;0.20;297;NULL;NULL;NULL
298;Expertise immobilièrede la valeur vénale, d’un «Bien» immobilier, de type « Appartement », sis 16 Bis, Rue Oued Tensift, Appartement N°07, 4ème étage, Arrondissement Anfa, Casablanca – Maroc. Objet du T.F N° 47.396/C.;1;2500.00;0.20;298;NULL;NULL;NULL
299;"-/Expertsie de la valeur venale de l'actif immobilier objet du T.F N° 6228/C
-/Analyse et Validation du Programme d’Investissement du Projet et son Cciffres d'affaires objet du T.F N°6228/C
";1;9500.00;0.20;299;NULL;NULL;NULL
300;Evaluation d’un projet immobilier, de type immeuble en « SS R+5 », sis Rue N°118, Val Fleury, Kenitra - Maroc, objet de TF N°3.398/H & N°5.991/R.;1;8000.00;0.20;300;NULL;NULL;NULL
301;"Expertise Immobilière de la valeur vénale
d’un « Bien » immobilier, de type « Unité industrielle », sis Route Rabat-Kenitra, Arrondissement de Bab
Lamrissa, Salé - Maroc. Objet du TF N°1.626/20.";1;4000.00;0.20;301;NULL;NULL;NULL
302;Expertise immobilière;1;5000.00;0.20;302;NULL;NULL;NULL
303;Expertise de la valeur vénale d’un « Bien » immobilier, de type « Unité industrielle », sis Boulevard Sfax, Zone Industrielle Sidi Bernoussi, Casablanca - Maroc. Objet du TF N°251/49.;1;3000.00;0.20;303;NULL;NULL;NULL
304;Expertise Immobilière de la valeur vénale d’un « Bien » immobilier, de type « Unité industrielle », sis Route de Zenata, Zone Industrielle Sidi Bernoussi, Casablanca - Maroc. Objet du TF N°35.105/49.;1;3000.00;0.20;304;NULL;NULL;NULL
305;Expertise immobilière de la valeur vénale, d’un « Bien » immobilier, de type « Lot de terrain pour villa », sis Lotissement « NAKHLA », Lot N°97, Commune de Dar Bouazza, Province de Nouaceur, Casablanca - Maroc. Objet du T.F N° 183.976/63.;1;3000.00;0.20;305;NULL;NULL;NULL
